comment,score,sentiment,account_type
I CAN ALREADY SEE A DIFFERENCE!!,0.6,Positive,Food & Beverage
share the workout/diet routine! i want to be like uu,0.4,Positive,Food & Beverage
how tall are u?,0,Neutral,Food & Beverage
SLAY GET IT,0.5,Positive,Food & Beverage
You got this girllyy !!❤️💕,0.7,Positive,Food & Beverage
Oooo I see progress,0.5,Positive,Food & Beverage
PERIODDDD 😻😻😻😻,0.8,Positive,Food & Beverage
How?,0,Neutral,Food & Beverage
AAAAA U GOT THIS <33,0.6,Positive,Food & Beverage
Keep it up !,0.4,Positive,Food & Beverage
Imma do this! Congrats!,0.5,Positive,Food & Beverage
😋😋😋,0.3,Positive,Food & Beverage
😂😂😂,0.3,Positive,Food & Beverage
😌😌😌,0.2,Neutral,Food & Beverage
🥺🥺🥺,0.4,Positive,Food & Beverage
🥰🥰🥰,0.6,Positive,Food & Beverage
😁,0.5,Positive,Food & Beverage
💜💜💜,0.5,Positive,Food & Beverage
i don’t think ur doing this right. i lost 2.4 lbs in 2 days and u didn’t even lose it in a week…,-0.6,Negative,Food & Beverage
I’m confused I lose 3 pounds in one day and u only list 1 in 2 weeks ?,-0.4,Negative,Food & Beverage
I want to lose weight so bad but I need my tits 😭☹️,-0.3,Negative,Food & Beverage
😏😏😏,0.2,Neutral,Food & Beverage
Love this! The best support 🥰🥰,0.7,Positive,Healthcare Professional
As a middle school counselor.. I can totally agree to this!!,0.5,Positive,Healthcare Professional
On my fyp 🥰,0.5,Positive,Healthcare Professional
I love this!,0.6,Positive,Healthcare Professional
How cute!! Love this! Can’t wait til my baby comes with me hype me up🥰,0.7,Positive,Healthcare Professional
I’ve seen so many teens at the gym with their parents lately. What a wonderful example you are setting for her!!,0.6,Positive,Healthcare Professional
Love this !,0.5,Positive,Healthcare Professional
Woohooo yes I love this my oldest just became a teenager and he is absolutely amazing yes mama! 🥰,0.8,Positive,Healthcare Professional
I’m here to be hyped up too! Love this!,0.6,Positive,Healthcare Professional
Love that…,0.4,Positive,Healthcare Professional
I was just telling my daughter I can’t wait till I can bring her to the gym! I love it 💕,0.7,Positive,Healthcare Professional
